Country,CountryCode,Series,SeriesCode,2011,2012,2013,2014,2015,2016,2017,2018,2019
台北市,EUU,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,340,335,333,333,330,331,331,332,332
新竹市,FCS,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,304,301,303,306,245,306,306,307,311
新北市,HPC,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,291,291,292,296,297,299,302,304,307
基隆市,SSF,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,286,287,286,292,295,296,296,293,297
嘉義市,WLD,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,277,278,276,279,281,285,285,283,291
花蓮縣,OED,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,262,257,263,273,277,275,276,282,285
台中市,MEA,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,266,267,269,273,273,273,275,279,283
宜蘭縣,LDC,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,247,246,251,254,262,265,271,273,279
高雄市,LCN,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,266,268,270,273,267,267,269,271,278
台東縣,HIC,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,239,240,246,257,266,275,276,274,277
台南市,EAS,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,259,249,253,256,256,258,263,265,272
連江縣,ARB,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,180,172,307,290,158,258,260,186,199
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
